opt_segment,RMR_MODEL_LOGIN_1_model_score1,login22_score,datatype,goods_actioned,prevention_rate,accuracy,objf
LS_0120_pw_gray_XO,820,,1,0.005862636,0.778299341,0.994766753,0.751347393
LS_0120_pw_gray_XO,825,,1,0.005850499,0.777784718,0.994774094,0.7512513
LS_0120_pw_gray_XO,830,,1,0.005835807,0.777273886,0.994783741,0.751157861
LS_0120_pw_gray_XO,835,,1,0.005820475,0.776706618,0.994793594,0.751053385
LS_0120_pw_gray_XO,840,,1,0.005805463,0.776113696,0.994803005,0.75094345
LS_0120_pw_gray_XO,845,,1,0.005788216,0.775488207,0.994814208,0.750828523
LS_0120_pw_gray_XO,850,,1,0.005774801,0.774780627,0.994821464,0.750694043
LS_0120_pw_gray_XO,855,,1,0.005752762,0.77404494,0.994836247,0.750560184
LS_0120_pw_gray_XO,860,,1,0.005733598,0.773225825,0.994847936,0.750407207
LS_0120_pw_gray_XO,865,,1,0.005713795,0.772317705,0.994859633,0.750236562
LS_0120_pw_gray_XO,870,,1,0.005687604,0.771361848,0.994876767,0.750060909
LS_0120_pw_gray_XO,875,,1,0.005667801,0.770312747,0.994887596,0.749861547
LS_0120_pw_gray_XO,880,,1,0.005636819,0.769163042,0.994907839,0.749649948
LS_0120_pw_gray_XO,885,,1,0.005611586,0.76788507,0.994922124,0.749407971
LS_0120_pw_gray_XO,890,,1,0.005578368,0.76643935,0.994942557,0.749137731
LS_0120_pw_gray_XO,895,,1,0.005546747,0.764868042,0.994960802,0.74884074
LS_0120_pw_gray_XO,900,,1,0.005512252,0.763076785,0.994980287,0.748501079
LS_0120_pw_gray_XO,905,,1,0.005471688,0.761005798,0.99500355,0.748108952
LS_0120_pw_gray_XO,910,,1,0.005423458,0.758607121,0.99503179,0.747655807
LS_0120_pw_gray_XO,915,,1,0.005379061,0.755840823,0.995054314,0.747124941
LS_0120_pw_gray_XO,920,,1,0.005325401,0.752528895,0.995081965,0.746489878
LS_0120_pw_gray_XO,925,,1,0.005262159,0.748507156,0.9951141,0.74571746
LS_0120_pw_gray_XO,930,,1,0.005198598,0.743353335,0.995139527,0.744714663
LS_0120_pw_gray_XO,935,,1,0.005131204,0.736463132,0.995157565,0.743360925
LS_0120_pw_gray_XO,940,,1,0.005049118,0.725994878,0.995166283,0.741288922
LS_0120_pw_gray_XO,945,,1,0.004944992,0.708363606,0.995148223,0.737772657
LS_0120_pw_gray_XO,950,,1,0.004802539,0.677065694,0.99507056,0.731494967
LS_0120_pw_gray_XO,,5,1,0.104079603,0.998805234,0.932161008,0.738241731
LS_0120_pw_gray_XO,,10,1,0.064425759,0.998499628,0.95688057,0.760943116
LS_0120_pw_gray_XO,,15,1,0.049234008,0.998235735,0.966701245,0.769821092
LS_0120_pw_gray_XO,,20,1,0.041197198,0.997960243,0.971977035,0.77453883
LS_0120_pw_gray_XO,,25,1,0.03615862,0.99767739,0.975312941,0.777491519
LS_0120_pw_gray_XO,,30,1,0.032790839,0.997388736,0.977554328,0.779452177
LS_0120_pw_gray_XO,,35,1,0.030470697,0.997103652,0.979103463,0.780788669
LS_0120_pw_gray_XO,,40,1,0.028801179,0.996808976,0.980220034,0.78173358
LS_0120_pw_gray_XO,,45,1,0.027465437,0.996518538,0.981114671,0.782479423
LS_0120_pw_gray_XO,,50,1,0.026444307,0.996247061,0.98179916,0.783040047
LS_0120_pw_gray_XO,,55,1,0.025559562,0.995969785,0.982392571,0.783517587
LS_0120_pw_gray_XO,,60,1,0.024828129,0.995710131,0.982883431,0.783906459
LS_0120_pw_gray_XO,,65,1,0.024161536,0.995427723,0.983330674,0.784251642
LS_0120_pw_gray_XO,,70,1,0.023607053,0.995157139,0.983702628,0.784531594
LS_0120_pw_gray_XO,,75,1,0.023098564,0.994891016,0.98404387,0.784784812
LS_0120_pw_gray_XO,,80,1,0.02264629,0.9946327,0.984347405,0.785005725
LS_0120_pw_gray_XO,,85,1,0.022255021,0.994352523,0.984609411,0.785185147
LS_0120_pw_gray_XO,,90,1,0.021885472,0.994074354,0.984856933,0.785351936
LS_0120_pw_gray_XO,,95,1,0.021552016,0.993802654,0.985080201,0.785498248
LS_0120_pw_gray_XO,,100,1,0.021238363,0.993517347,0.985289979,0.785629785
LS_0120_pw_gray_XO,,105,1,0.020943234,0.993210179,0.985487002,0.78574559
LS_0120_pw_gray_XO,,110,1,0.020684199,0.992898773,0.9856595,0.785838615
LS_0120_pw_gray_XO,,115,1,0.020417817,0.992597404,0.985837332,0.785938317
LS_0120_pw_gray_XO,,120,1,0.020179862,0.992286221,0.985995748,0.786018721
LS_0120_pw_gray_XO,,125,1,0.019953725,0.991965222,0.986146088,0.786089952
LS_0120_pw_gray_XO,,130,1,0.019744836,0.991643332,0.986284742,0.786150544
LS_0120_pw_gray_XO,,135,1,0.019565331,0.991320102,0.986403364,0.786192973
LS_0120_pw_gray_XO,,140,1,0.019384869,0.991002227,0.986522821,0.786237164
LS_0120_pw_gray_XO,,145,1,0.0192076,0.99065736,0.986639832,0.786273851
LS_0120_pw_gray_XO,,150,1,0.019046941,0.990347069,0.986746004,0.786307628
