opt_segment,RMR_MODEL_LOGIN_1_model_score1,prevention_rate,bad_rate,goods_actioned,accuracy,num_of_sessions_total,login22_score,datatype
LS_0120_pw_good_AA,,0.003061224,0.001263997,7.62E-05,0.048387097,775318,765,ALL
LS_0120_pw_good_AA,,0.003061224,0.001263997,7.10E-05,0.051724138,775318,770,ALL
LS_0120_pw_good_AA,,0.003061224,0.001263997,6.84E-05,0.053571429,775318,775,ALL
LS_0120_pw_good_AA,,0.003061224,0.001263997,6.33E-05,0.057692308,775318,780,ALL
LS_0120_pw_good_AA,,0.003061224,0.001263997,5.94E-05,0.06122449,775318,785,ALL
LS_0120_pw_good_AA,,0.003061224,0.001263997,5.55E-05,0.065217391,775318,790,ALL
LS_0120_pw_good_AA,,0.003061224,0.001263997,4.91E-05,0.073170732,775318,795,ALL
LS_0120_pw_good_AA,,0.003061224,0.001263997,4.39E-05,0.081081081,775318,800,ALL
LS_0120_pw_good_AA,,0.003061224,0.001263997,4.13E-05,0.085714286,775318,805,ALL
LS_0120_pw_good_AA,,0.003061224,0.001263997,3.87E-05,0.090909091,775318,810,ALL
LS_0120_pw_good_AA,,0.003061224,0.001263997,3.49E-05,0.1,775318,820,ALL
LS_0120_pw_good_AA,,0.003061224,0.001263997,3.10E-05,0.111111111,775318,830,ALL
LS_0120_pw_good_AA,,0.003061224,0.001263997,2.58E-05,0.130434783,775318,840,ALL
LS_0120_pw_good_AA,,0.003061224,0.001263997,2.20E-05,0.15,775318,845,ALL
LS_0120_pw_good_AA,,0.002040816,0.001263997,1.81E-05,0.125,775318,850,ALL
LS_0120_pw_good_AA,,0.002040816,0.001263997,1.55E-05,0.142857143,775318,855,ALL
LS_0120_pw_good_AA,,0.002040816,0.001263997,1.29E-05,0.166666667,775318,860,ALL
LS_0120_pw_good_AA,,0.001020408,0.001263997,9.04E-06,0.125,775318,865,ALL
LS_0120_pw_good_AA,,0.001020408,0.001263997,6.46E-06,0.166666667,775318,875,ALL
LS_0120_pw_good_AA,,0,0.001263997,5.17E-06,0,775318,880,ALL
LS_0120_pw_good_AA,,0,0.001263997,2.58E-06,0,775318,895,ALL
LS_0120_pw_good_AA,,0,0.001263997,1.29E-06,0,775318,900,ALL
LS_0120_pw_good_XO,0,1,0.001464857,1,0.001464857,74410,,ALL
LS_0120_pw_good_XO,5,0.027522936,0.001464857,0.002476414,0.016042781,74410,,ALL
LS_0120_pw_good_XO,10,0.018348624,0.001464857,0.001547758,0.017094017,74410,,ALL
LS_0120_pw_good_XO,15,0.018348624,0.001464857,0.001130537,0.023255814,74410,,ALL
LS_0120_pw_good_XO,20,0.018348624,0.001464857,0.00087482,0.029850746,74410,,ALL
LS_0120_pw_good_XO,25,0.018348624,0.001464857,0.000713315,0.036363636,74410,,ALL
LS_0120_pw_good_XO,30,0.018348624,0.001464857,0.000646021,0.04,74410,,ALL
LS_0120_pw_good_XO,35,0.018348624,0.001464857,0.000538351,0.047619048,74410,,ALL
LS_0120_pw_good_XO,40,0.018348624,0.001464857,0.000430681,0.058823529,74410,,ALL
LS_0120_pw_good_XO,45,0.018348624,0.001464857,0.000403763,0.0625,74410,,ALL
LS_0120_pw_good_XO,50,0.018348624,0.001464857,0.000349928,0.071428571,74410,,ALL
LS_0120_pw_good_XO,55,0.018348624,0.001464857,0.000309552,0.08,74410,,ALL
LS_0120_pw_good_XO,60,0.018348624,0.001464857,0.000269175,0.090909091,74410,,ALL
LS_0120_pw_good_XO,65,0.018348624,0.001464857,0.000255717,0.095238095,74410,,ALL
LS_0120_pw_good_XO,70,0.018348624,0.001464857,0.000242258,0.1,74410,,ALL
LS_0120_pw_good_XO,75,0.018348624,0.001464857,0.00021534,0.111111111,74410,,ALL
LS_0120_pw_good_XO,80,0.018348624,0.001464857,0.000174964,0.133333333,74410,,ALL
LS_0120_pw_good_XO,90,0.018348624,0.001464857,0.000161505,0.142857143,74410,,ALL
LS_0120_pw_good_XO,95,0.018348624,0.001464857,0.000134588,0.166666667,74410,,ALL
LS_0120_pw_good_XO,100,0.018348624,0.001464857,0.000121129,0.181818182,74410,,ALL
LS_0120_pw_good_XO,115,0.018348624,0.001464857,9.42E-05,0.222222222,74410,,ALL
LS_0120_pw_good_XO,125,0.018348624,0.001464857,6.73E-05,0.285714286,74410,,ALL
LS_0120_pw_good_XO,145,0.018348624,0.001464857,2.69E-05,0.5,74410,,ALL
LS_0120_pw_good_XO,155,0.009174312,0.001464857,2.69E-05,0.333333333,74410,,ALL
LS_0120_pw_good_XO,225,0.009174312,0.001464857,1.35E-05,0.5,74410,,ALL
LS_0120_pw_good_XO,935,0.009174312,0.001464857,0,1,74410,,ALL
